Title;Authors;Year;Journal_Conference;DOI_URL;Database_source;Abstract;Inclusion_Exclusion_decision;Reason_for_inclusion_exclusion;Internal_Source_ID
Graph Neural Networks applications in cardiac tissue analysis;A. Smith, B. Johnson, C. Williams;2018;Nature;https://doi.org/10.1038/s41467-18-42092-7;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600091
Multi-modal spatial transcriptomics in cardiac biology;V. Lewis, W. Lee, X. Walker;2024;Genome Biology;https://doi.org/10.1093/bioinformatics/btab835;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600092
Computational cardiac regeneration for cardiac regeneration;S. Robinson, T. Clark, U. Rodriguez;2021;BMC Bioinformatics;https://doi.org/10.1093/bioinformatics/btab771;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600093
Multi-modal iPSC-CM differentiation in cardiac biology;K. Nelson, L. Carter, M. Mitchell;2015;Cell;https://doi.org/10.1093/bioinformatics/btab280;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600094
Single-cell Analysis methods for cardiomyocyte analysis;A. Smith, B. Johnson, C. Williams;2023;Nature Methods;https://doi.org/10.1038/s41467-23-42662-1;PubMed;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600095
Interpretable neural networks for heart failure;K. Nelson, L. Carter, M. Mitchell;2022;Nature;https://doi.org/10.1038/s41467-22-97500-8;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600096
Multi-omics Integration methods for cardiomyocyte analysis;P. Thompson, Q. Garcia, R. Martinez;2023;bioRxiv;https://doi.org/10.1101/2023.07.27.674485;bioRxiv preprint;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;bioRxiv:2024.08.20.954596
Interpretable transformer models for heart failure;H. Adams, I. Baker, J. Gonzalez;2022;Science;https://doi.org/10.1093/bioinformatics/btad365;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Attention Mechanisms methodology relevant to cardiac research;PMID:40600098
Recurrent Neural Networks methods for cardiomyocyte analysis;K. Nelson, L. Carter, M. Mitchell;2018;IEEE Transactions on Medical Imaging;https://doi.org/10.1093/bioinformatics/btad741;IEEE Xplore;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;IEEE:1234699
Novel XAI methods for cardiovascular research;V. Lewis, W. Lee, X. Walker;2018;IEEE Transactions on Medical Imaging;https://doi.org/10.1093/bioinformatics/btac340;IEEE Xplore;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Limited deep learning component;IEEE:1234700
Graph Neural Networks methods for cardiomyocyte analysis;P. Thompson, Q. Garcia, R. Martinez;2019;PLOS Computational Biology;https://doi.org/10.1093/bioinformatics/btaa241;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600101
Integrative spatially resolved transcriptomics in heart disease;S. Robinson, T. Clark, U. Rodriguez;2017;Frontiers in Genetics;https://doi.org/10.1093/bioinformatics/btab165;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600102
Cardiac Regeneration methods for cardiomyocyte analysis;P. Thompson, Q. Garcia, R. Martinez;2021;Stem Cell Reports;https://doi.org/10.1093/bioinformatics/btad525;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600103
Multi-modal iPSC-CM differentiation in cardiac biology;N. Perez, O. Roberts, P. Turner;2015;Circulation Research;https://doi.org/10.1093/bioinformatics/btad888;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600104
Spatially-resolved single-cell analysis in cardiac development;N. Perez, O. Roberts, P. Turner;2024;Nature Communications;https://doi.org/10.1038/s41467-24-59857-7;PubMed;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600105
Multi-modal deep learning in cardiac biology;M. White, N. Harris, O. Martin;2015;Frontiers in Bioinformatics;https://doi.org/10.1093/bioinformatics/btad651;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600106
Advanced integrated omics in spatial cardiac data;Q. Phillips, R. Campbell, S. Parker;2023;bioRxiv;https://doi.org/10.1101/2023.07.16.130434;bioRxiv preprint;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;bioRxiv:2024.04.16.330080
Multi-modal attention mechanisms in cardiac biology;E. Hill, F. Scott, G. Green;2021;PLOS Computational Biology;https://doi.org/10.1093/bioinformatics/btab960;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Attention Mechanisms methodology relevant to cardiac research;PMID:40600108
Recurrent Neural Networks methods for cardiomyocyte analysis;B. King, C. Wright, D. Lopez;2022;Nature;https://doi.org/10.1038/s41467-22-13534-6;PubMed;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Preliminary results without validation;PMID:40600109
Explainable AI applications in cardiac tissue analysis;E. Hill, F. Scott, G. Green;2024;Cell Genomics;https://doi.org/10.1093/bioinformatics/btaa758;PubMed;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;PMID:40600110
Interpretable graph neural networks for heart failure;N. Perez, O. Roberts, P. Turner;2021;Nature;https://doi.org/10.1038/s41467-21-33819-0;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600111
Computational spatial transcriptomics for cardiac regeneration;P. Thompson, Q. Garcia, R. Martinez;2019;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btad434;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Preliminary results without validation;PMID:40600112
Multi-modal cardiac regeneration in cardiac biology;M. White, N. Harris, O. Martin;2020;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btac954;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600113
iPSC-CM Differentiation methods for cardiomyocyte analysis;A. Smith, B. Johnson, C. Williams;2016;BMC Bioinformatics;https://doi.org/10.1093/bioinformatics/btaa458;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600114
Single-cell Analysis applications in cardiac tissue analysis;K. Nelson, L. Carter, M. Mitchell;2018;Genome Biology;https://doi.org/10.1093/bioinformatics/btaa353;PubMed;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600115
Integrative neural networks in heart disease;B. King, C. Wright, D. Lopez;2018;Nature Communications;https://doi.org/10.1038/s41467-18-41266-2;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600116
Computational multi-omics for cardiac regeneration;B. King, C. Wright, D. Lopez;2022;Cell;https://doi.org/10.1093/bioinformatics/btad816;PubMed;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;PMID:40600117
Spatially-resolved attention mechanisms in cardiac development;G. Wilson, H. Moore, I. Taylor;2019;Frontiers in Bioinformatics;https://doi.org/10.1093/bioinformatics/btaa896;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Attention Mechanisms methodology relevant to cardiac research;PMID:40600118
Spatially-resolved RNNs in cardiac development;D. Brown, E. Davis, F. Miller;2017;Briefings in Bioinformatics;https://doi.org/10.1093/bioinformatics/btaa419;Oxford Academic;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;PMID:40600119
Computational XAI methods for cardiac regeneration;S. Robinson, T. Clark, U. Rodriguez;2024;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btaa706;PubMed;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;PMID:40600120
Advanced graph neural networks in spatial cardiac data;D. Brown, E. Davis, F. Miller;2025;Frontiers in Genetics;https://doi.org/10.1093/bioinformatics/btaa915;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600121
Spatial Transcriptomics methods for cardiomyocyte analysis;P. Thompson, Q. Garcia, R. Martinez;2024;Bioinformatics;https://doi.org/10.1093/bioinformatics/btad777;Oxford Academic;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Focus on non-cardiac tissue applications;PMID:40600122
Cardiac Regeneration for predictive modeling in cardiology;Y. Hall, Z. Allen, A. Young;2020;Genome Biology;https://doi.org/10.1093/bioinformatics/btaa969;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600123
Multi-modal iPSC-CM differentiation in cardiac biology;D. Brown, E. Davis, F. Miller;2021;BMC Bioinformatics;https://doi.org/10.1093/bioinformatics/btac750;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600124
Integrative scRNA-seq in heart disease;S. Robinson, T. Clark, U. Rodriguez;2022;Nature;https://doi.org/10.1038/s41467-22-78386-4;PubMed;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600125
Interpretable neural networks for heart failure;K. Nelson, L. Carter, M. Mitchell;2024;Nucleic Acids Research;https://doi.org/10.1093/bioinformatics/btad546;Oxford Academic;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600126
Computational multi-omics for cardiac regeneration;P. Thompson, Q. Garcia, R. Martinez;2024;IEEE Transactions on Medical Imaging;https://doi.org/10.1093/bioinformatics/btaa385;IEEE Xplore;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Purely theoretical without experimental validation;IEEE:1234727
Interpretable transformer models for heart failure;K. Nelson, L. Carter, M. Mitchell;2022;Frontiers in Genetics;https://doi.org/10.1093/bioinformatics/btad444;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Insufficient sample size for conclusions;PMID:40600128
Recurrent Neural Networks for predictive modeling in cardiology;N. Perez, O. Roberts, P. Turner;2015;BMC Bioinformatics;https://doi.org/10.1093/bioinformatics/btab599;PubMed;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;PMID:40600129
Advanced explainable artificial intelligence in spatial cardiac data;K. Nelson, L. Carter, M. Mitchell;2018;Frontiers in Bioinformatics;https://doi.org/10.1093/bioinformatics/btac386;PubMed;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;PMID:40600130
Graph Neural Networks applications in cardiac tissue analysis;Y. Hall, Z. Allen, A. Young;2024;IEEE Transactions on Medical Imaging;https://doi.org/10.1093/bioinformatics/btab187;IEEE Xplore;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;IEEE:1234731
Spatial Transcriptomics methods for cardiomyocyte analysis;V. Lewis, W. Lee, X. Walker;2018;Stem Cell Reports;https://doi.org/10.1093/bioinformatics/btab807;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600132
Cardiac Regeneration applications in cardiac tissue analysis;V. Lewis, W. Lee, X. Walker;2022;BMC Bioinformatics;https://doi.org/10.1093/bioinformatics/btaa401;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600133
Computational iPSC-CM differentiation for cardiac regeneration;H. Adams, I. Baker, J. Gonzalez;2018;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btac779;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600134
Single-cell Analysis methods for cardiomyocyte analysis;V. Lewis, W. Lee, X. Walker;2024;Frontiers in Bioinformatics;https://doi.org/10.1093/bioinformatics/btac535;PubMed;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600135
Interpretable neural networks for heart failure;P. Thompson, Q. Garcia, R. Martinez;2023;PLOS Computational Biology;https://doi.org/10.1093/bioinformatics/btac413;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Focus on non-cardiac tissue applications;PMID:40600136
Computational multi-omics for cardiac regeneration;D. Brown, E. Davis, F. Miller;2019;Frontiers in Genetics;https://doi.org/10.1093/bioinformatics/btac222;PubMed;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;PMID:40600137
Computational attention mechanisms for cardiac regeneration;J. Anderson, K. Thomas, L. Jackson;2023;Science;https://doi.org/10.1093/bioinformatics/btad383;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Attention Mechanisms methodology relevant to cardiac research;PMID:40600138
Advanced LSTM networks in spatial cardiac data;B. King, C. Wright, D. Lopez;2024;Epigenetics & Chromatin;https://doi.org/10.1093/bioinformatics/btaa952;PubMed;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;PMID:40600139
Explainable AI for predictive modeling in cardiology;J. Anderson, K. Thomas, L. Jackson;2018;Briefings in Bioinformatics;https://doi.org/10.1093/bioinformatics/btab409;Oxford Academic;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;PMID:40600140
Advanced graph neural networks in spatial cardiac data;G. Wilson, H. Moore, I. Taylor;2015;Nucleic Acids Research;https://doi.org/10.1093/bioinformatics/btaa155;Oxford Academic;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600141
Integrative spatially resolved transcriptomics in heart disease;H. Adams, I. Baker, J. Gonzalez;2023;Briefings in Bioinformatics;https://doi.org/10.1093/bioinformatics/btad205;Oxford Academic;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600142
Interpretable heart regeneration for heart failure;M. White, N. Harris, O. Martin;2015;Cell Genomics;https://doi.org/10.1093/bioinformatics/btad551;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600143
Advanced induced pluripotent stem cell cardiomyocytes in spatial cardiac data;A. Smith, B. Johnson, C. Williams;2020;Science;https://doi.org/10.1093/bioinformatics/btad216;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Insufficient methodological detail for reproducibility;PMID:40600144
Novel single-cell analysis for cardiovascular research;V. Lewis, W. Lee, X. Walker;2016;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btaa255;PubMed;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600145
Novel deep learning for cardiovascular research;M. White, N. Harris, O. Martin;2017;Cell Genomics;https://doi.org/10.1093/bioinformatics/btab221;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600146
Spatially-resolved multi-omics in cardiac development;B. King, C. Wright, D. Lopez;2023;Stem Cell Reports;https://doi.org/10.1093/bioinformatics/btab894;PubMed;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;PMID:40600147
Interpretable transformer models for heart failure;V. Lewis, W. Lee, X. Walker;2023;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btac980;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Attention Mechanisms methodology relevant to cardiac research;PMID:40600148
Spatially-resolved RNNs in cardiac development;M. White, N. Harris, O. Martin;2024;Stem Cell Reports;https://doi.org/10.1093/bioinformatics/btaa724;PubMed;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;PMID:40600149
Computational XAI methods for cardiac regeneration;E. Hill, F. Scott, G. Green;2016;Circulation Research;https://doi.org/10.1093/bioinformatics/btac776;PubMed;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;PMID:40600150
Integrative graph neural networks in heart disease;J. Anderson, K. Thomas, L. Jackson;2016;Science;https://doi.org/10.1093/bioinformatics/btaa260;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600151
Spatially-resolved spatial transcriptomics in cardiac development;V. Lewis, W. Lee, X. Walker;2015;Stem Cell Reports;https://doi.org/10.1093/bioinformatics/btad398;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600152
Advanced heart regeneration in spatial cardiac data;M. White, N. Harris, O. Martin;2015;Frontiers in Genetics;https://doi.org/10.1093/bioinformatics/btad172;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Duplicate methodology from included studies;PMID:40600153
Advanced induced pluripotent stem cell cardiomyocytes in spatial cardiac data;Q. Phillips, R. Campbell, S. Parker;2025;Frontiers in Genetics;https://doi.org/10.1093/bioinformatics/btab535;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600154
Integrative scRNA-seq in heart disease;J. Anderson, K. Thomas, L. Jackson;2016;Nucleic Acids Research;https://doi.org/10.1093/bioinformatics/btac946;Oxford Academic;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600155
Integrative neural networks in heart disease;A. Smith, B. Johnson, C. Williams;2017;Genome Biology;https://doi.org/10.1093/bioinformatics/btac709;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600156
Novel multi-omics for cardiovascular research;V. Lewis, W. Lee, X. Walker;2024;Briefings in Bioinformatics;https://doi.org/10.1093/bioinformatics/btad805;Oxford Academic;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;PMID:40600157
Attention Mechanisms methods for cardiomyocyte analysis;M. White, N. Harris, O. Martin;2019;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btad548;PubMed;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Attention Mechanisms methodology relevant to cardiac research;PMID:40600158
Spatially-resolved RNNs in cardiac development;A. Smith, B. Johnson, C. Williams;2016;bioRxiv;https://doi.org/10.1101/2016.05.01.195763;bioRxiv preprint;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;bioRxiv:2024.07.24.437978
Explainable AI applications in cardiac tissue analysis;B. King, C. Wright, D. Lopez;2018;Cell Genomics;https://doi.org/10.1093/bioinformatics/btac690;PubMed;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;PMID:40600160
Graph Neural Networks methods for cardiomyocyte analysis;V. Lewis, W. Lee, X. Walker;2015;Science;https://doi.org/10.1093/bioinformatics/btad384;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600161
Interpretable spatially resolved transcriptomics for heart failure;S. Robinson, T. Clark, U. Rodriguez;2017;Cell Genomics;https://doi.org/10.1093/bioinformatics/btaa581;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600162
Cardiac Regeneration for predictive modeling in cardiology;P. Thompson, Q. Garcia, R. Martinez;2020;Stem Cell Reports;https://doi.org/10.1093/bioinformatics/btaa978;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600163
Interpretable induced pluripotent stem cell cardiomyocytes for heart failure;S. Robinson, T. Clark, U. Rodriguez;2017;PLOS Computational Biology;https://doi.org/10.1093/bioinformatics/btac778;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600164
Interpretable scRNA-seq for heart failure;A. Smith, B. Johnson, C. Williams;2021;Nucleic Acids Research;https://doi.org/10.1093/bioinformatics/btaa422;Oxford Academic;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;PMID:40600165
Multi-modal deep learning in cardiac biology;D. Brown, E. Davis, F. Miller;2019;PLOS Computational Biology;https://doi.org/10.1093/bioinformatics/btaa773;PubMed;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;PMID:40600166
Multi-omics Integration applications in cardiac tissue analysis;S. Robinson, T. Clark, U. Rodriguez;2023;Nature Methods;https://doi.org/10.1038/s41467-23-34586-8;PubMed;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Multi-omics Integration methodology relevant to cardiac research;PMID:40600167
Attention Mechanisms applications in cardiac tissue analysis;K. Nelson, L. Carter, M. Mitchell;2020;bioRxiv;https://doi.org/10.1101/2020.04.09.675898;bioRxiv preprint;This study explores transformer models applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Insufficient sample size for conclusions;bioRxiv:2024.08.21.563513
Interpretable LSTM networks for heart failure;V. Lewis, W. Lee, X. Walker;2017;Briefings in Bioinformatics;https://doi.org/10.1093/bioinformatics/btaa129;Oxford Academic;This study explores LSTM networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Recurrent Neural Networks methodology relevant to cardiac research;PMID:40600169
Advanced explainable artificial intelligence in spatial cardiac data;K. Nelson, L. Carter, M. Mitchell;2025;bioRxiv;https://doi.org/10.1101/2025.09.01.679077;bioRxiv preprint;This study explores explainable artificial intelligence applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Explainable AI methodology relevant to cardiac research;bioRxiv:2024.04.23.266071
Novel GNN applications for cardiovascular research;J. Anderson, K. Thomas, L. Jackson;2021;Genome Biology;https://doi.org/10.1093/bioinformatics/btad220;PubMed;This study explores graph neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Graph Neural Networks methodology relevant to cardiac research;PMID:40600171
Advanced spatially resolved transcriptomics in spatial cardiac data;V. Lewis, W. Lee, X. Walker;2025;Nature;https://doi.org/10.1038/s41467-25-76698-4;PubMed;This study explores spatially resolved transcriptomics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Spatial Transcriptomics methodology relevant to cardiac research;PMID:40600172
Computational cardiac regeneration for cardiac regeneration;V. Lewis, W. Lee, X. Walker;2021;BMC Bioinformatics;https://doi.org/10.1093/bioinformatics/btad664;PubMed;This study explores heart regeneration applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Cardiac Regeneration methodology relevant to cardiac research;PMID:40600173
Spatially-resolved iPSC-CM differentiation in cardiac development;J. Anderson, K. Thomas, L. Jackson;2017;Journal of Cardiovascular Research;https://doi.org/10.1093/bioinformatics/btab984;PubMed;This study explores induced pluripotent stem cell cardiomyocytes applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;iPSC-CM Differentiation methodology relevant to cardiac research;PMID:40600174
Multi-modal single-cell analysis in cardiac biology;K. Nelson, L. Carter, M. Mitchell;2016;IEEE Transactions on Medical Imaging;https://doi.org/10.1093/bioinformatics/btac906;IEEE Xplore;This study explores scRNA-seq applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Single-cell Analysis methodology relevant to cardiac research;IEEE:1234775
Deep Learning applications in cardiac tissue analysis;N. Perez, O. Roberts, P. Turner;2023;IEEE Transactions on Medical Imaging;https://doi.org/10.1093/bioinformatics/btac843;IEEE Xplore;This study explores neural networks applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Include;Deep Learning methodology relevant to cardiac research;IEEE:1234776
Interpretable integrated omics for heart failure;B. King, C. Wright, D. Lopez;2019;Cell Genomics;https://doi.org/10.1093/bioinformatics/btab557;PubMed;This study explores integrated omics applications in cardiac research, providing insights into cardiovascular biology and regenerative medicine.;Exclude;Lacks spatial resolution in omics analysis;PMID:40600177
